time_period,measure,sex,obs_value,last_obs_value,change_obs_value
2019-09-01,part-time,male,1289.07894749,1303.31520124,-14.23625375000006
2019-10-01,part-time,male,1275.92188123,1289.07894749,-13.157066259999965
2019-11-01,part-time,male,1301.09191005,1275.92188123,25.17002881999997
2019-12-01,part-time,male,1341.1882662,1301.09191005,40.09635615000002
2020-01-01,part-time,male,1292.14947865,1341.1882662,-49.03878755000005
2020-02-01,part-time,male,1304.4471589,1292.14947865,12.297680249999985
2020-03-01,part-time,male,1309.48541441,1304.4471589,5.038255509999999
2020-04-01,part-time,male,1159.48724395,1309.48541441,-149.99817045999998
2020-05-01,part-time,male,1107.12509656,1159.48724395,-52.36214739000002
2020-06-01,part-time,male,1213.0214445,1107.12509656,105.89634793999994
2020-07-01,part-time,male,1258.66123525,1213.0214445,45.639790749999975
2020-08-01,part-time,male,1290.51642148,1258.66123525,31.855186230000072
2020-09-01,part-time,male,1307.06211014,1290.51642148,16.545688659999996
2020-10-01,part-time,male,1320.87502738,1307.06211014,13.812917239999933
2020-11-01,part-time,male,1334.24443875,1320.87502738,13.36941137000008
2020-12-01,part-time,male,1337.49379528,1334.24443875,3.2493565300001137
2021-01-01,part-time,male,1342.44016772,1337.49379528,4.946372440000005
2021-02-01,part-time,male,1337.01380019,1342.44016772,-5.426367530000107
2021-03-01,part-time,male,1353.90073181,1337.01380019,16.88693162000004
2021-04-01,part-time,male,1333.61773303,1353.90073181,-20.28299878000007
2021-05-01,part-time,male,1349.5927457,1333.61773303,15.97501267000007
2021-06-01,part-time,male,1328.0508689,1349.5927457,-21.541876799999955
2021-07-01,part-time,male,1340.45217682,1328.0508689,12.401307919999908
2021-08-01,part-time,male,1308.82734757,1340.45217682,-31.624829249999948
2021-09-01,part-time,male,1260.43845028,1308.82734757,-48.38889728999993
2021-10-01,part-time,male,1265.56842127,1260.43845028,5.129970989999947
2021-11-01,part-time,male,1335.02752902,1265.56842127,69.45910774999993
2021-12-01,part-time,male,1345.45065589,1335.02752902,10.423126870000033
2022-01-01,part-time,male,1319.69336704,1345.45065589,-25.757288849999895
2022-02-01,part-time,male,1301.60761684,1319.69336704,-18.08575020000012
2022-03-01,part-time,male,1309.17657811,1301.60761684,7.568961270000045
