date,industry,count
1989-11-01,Wholesale Trade,432.206
1989-11-01,Retail Trade,869.061
1989-11-01,Accommodation and Food Services,437.803
1989-11-01,"Transport, Postal and Warehousing",432.041
1989-11-01,Information Media and Telecommunications,176.678
1989-11-01,Financial and Insurance Services,354.016
1989-11-01,"Rental, Hiring and Real Estate Services",129.678
1989-11-01,"Professional, Scientific and Technical Services",373.15
1989-11-01,Administrative and Support Services,168.675
1989-11-01,Public Administration and Safety,422.18
1989-11-01,Education and Training,529.074
1989-11-01,Health Care and Social Assistance,635.851
1989-11-01,Arts and Recreation Services,103.883
1989-11-01,Other Services,362.348
1990-02-01,"Agriculture, Forestry and Fishing",420.531
1990-02-01,Mining,104.668
1990-02-01,Manufacturing,1146.377
1990-02-01,"Electricity, Gas, Water and Waste Services",116.883
1990-02-01,Construction,614.439
1990-02-01,Wholesale Trade,426.06
1990-02-01,Retail Trade,872.17
1990-02-01,Accommodation and Food Services,449.186
1990-02-01,"Transport, Postal and Warehousing",421.403
1990-02-01,Information Media and Telecommunications,166.821
1990-02-01,Financial and Insurance Services,364.144
1990-02-01,"Rental, Hiring and Real Estate Services",130.619
1990-02-01,"Professional, Scientific and Technical Services",382.816
1990-02-01,Administrative and Support Services,165.142
1990-02-01,Public Administration and Safety,433.255
1990-02-01,Education and Training,538.396
1990-02-01,Health Care and Social Assistance,635.438
1990-02-01,Arts and Recreation Services,97.042
1990-02-01,Other Services,354.125
1990-05-01,"Agriculture, Forestry and Fishing",438.902
1990-05-01,Mining,101.38
1990-05-01,Manufacturing,1136.839
1990-05-01,"Electricity, Gas, Water and Waste Services",117.913
1990-05-01,Construction,576.498
1990-05-01,Wholesale Trade,429.988
1990-05-01,Retail Trade,880.88
1990-05-01,Accommodation and Food Services,451.62
1990-05-01,"Transport, Postal and Warehousing",420.029
1990-05-01,Information Media and Telecommunications,178.196
1990-05-01,Financial and Insurance Services,374.159
1990-05-01,"Rental, Hiring and Real Estate Services",130.495
1990-05-01,"Professional, Scientific and Technical Services",363.514
1990-05-01,Administrative and Support Services,168.193
1990-05-01,Public Administration and Safety,453.096
1990-05-01,Education and Training,550.533
1990-05-01,Health Care and Social Assistance,647.99
1990-05-01,Arts and Recreation Services,95.286
1990-05-01,Other Services,358.607
1990-08-01,"Agriculture, Forestry and Fishing",434.12
1990-08-01,Mining,97.046
1990-08-01,Manufacturing,1130.057
1990-08-01,"Electricity, Gas, Water and Waste Services",117.751
1990-08-01,Construction,590.045
1990-08-01,Wholesale Trade,428.03
1990-08-01,Retail Trade,861.618
1990-08-01,Accommodation and Food Services,442.716
1990-08-01,"Transport, Postal and Warehousing",431.461
1990-08-01,Information Media and Telecommunications,180.919
1990-08-01,Financial and Insurance Services,368.287
1990-08-01,"Rental, Hiring and Real Estate Services",119.249
1990-08-01,"Professional, Scientific and Technical Services",366.366
1990-08-01,Administrative and Support Services,174.546
1990-08-01,Public Administration and Safety,459.73
1990-08-01,Education and Training,536.901
1990-08-01,Health Care and Social Assistance,663.892
1990-08-01,Arts and Recreation Services,89.932
1990-08-01,Other Services,352.362
1990-11-01,"Agriculture, Forestry and Fishing",442.219
1990-11-01,Mining,97.258
1990-11-01,Manufacturing,1104.068
1990-11-01,"Electricity, Gas, Water and Waste Services",117.411
1990-11-01,Construction,584.017
1990-11-01,Wholesale Trade,427.853
1990-11-01,Retail Trade,860.659
1990-11-01,Accommodation and Food Services,447.117
1990-11-01,"Transport, Postal and Warehousing",425.935
1990-11-01,Information Media and Telecommunications,177.125
1990-11-01,Financial and Insurance Services,356.483
1990-11-01,"Rental, Hiring and Real Estate Services",118.446
1990-11-01,"Professional, Scientific and Technical Services",371.793
1990-11-01,Administrative and Support Services,172.723
1990-11-01,Public Administration and Safety,451.522
1990-11-01,Education and Training,534.734
1990-11-01,Health Care and Social Assistance,674.644
1990-11-01,Arts and Recreation Services,90.569
1990-11-01,Other Services,353.654
1991-02-01,"Agriculture, Forestry and Fishing",425.612
1991-02-01,Mining,101.867
1991-02-01,Manufacturing,1084.197
1991-02-01,"Electricity, Gas, Water and Waste Services",113.471
1991-02-01,Construction,568.306
1991-02-01,Wholesale Trade,440.61
1991-02-01,Retail Trade,842.878
1991-02-01,Accommodation and Food Services,451.29
1991-02-01,"Transport, Postal and Warehousing",425.65
1991-02-01,Information Media and Telecommunications,177.259
